Lp.,Oddział NFZ,Krótka nazwa Oddziału NFZ,Świadczeniodawca - Nazwa,Świadczeniodawca - Miejscowość,Świadczeniodawca - Adres,Świadczeniodawca - Telefon,Świadczeniodawca - adres mailowy
326,11,Pomorski  OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ IM. DR ALEKSANDRA MAJKOWSKIEGO,KARTUZY,FLORIANA CEYNOWY 7,(058)685 48 89,poradnie@pczkartuzy.pl
327,11,Pomorski  OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL POWIATU BYTOWSKIEGO,BYTÓW,LĘBORSKA 13,(059)822 85 00,lplotek@bytow.biz
328,11,Pomorski  OW NFZ,SZPITAL POLSKI SZTUM,SZTUM,REJA 12,(055)640 61 00,tlawrynowicz@szpitale-polskie.pl
329,11,Pomorski  OW NFZ,SZPITAL ŚW. JANA,STAROGARD GDAŃSKI,DRA JÓZEFA BALEWSKIEGO 1,(058)562 30 31,i.tucholska@szpital-starogard.pl
330,11,Pomorski  OW NFZ,SZPITAL PUCKI SP. Z O.O.,PUCK,1-GO MAJA 13A,(058)380 02 91,teresakonkel@szpitalpucki.pl
331,11,Pomorski  OW NFZ,SZPITAL SPECJALISTYCZNY W KOŚCIERZYNIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KOŚCIERZYNA,ALOJZEGO PIECHOWSKIEGO 36,(058)686 01 11,d.warpas@szpital.koscierzyna.pl
332,11,Pomorski  OW NFZ,SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GDYNIA,POWSTANIA STYCZNIOWEGO 1,(058)726 01 19 ,kontraktowanie@szpitalepomorskie.eu
333,11,Pomorski  OW NFZ,COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SZPITAL ŚW. WOJCIECHA ,GDAŃSK,JANA PAWŁA II 50,+48 58 302 30 31,mkulpan@copernicus.gda.pl
334,11,Pomorski  OW NFZ,SZPITAL MIEJSKI W MIASTKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MIASTKO,GEN. WYBICKIEGO 30,(059)857 09 02,izbaprzyjec@szpitalmiastko.pl
335,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ZESPÓŁ SZPITALI MIEJSKICH W CHORZOWIE,CHORZÓW,STRZELCÓW BYTOMSKICH 11,,zsm@zsm.com.pl
336,12,Śląski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W ŚWIĘTOCHŁOWICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚWIĘTOCHŁOWICE,CHORZOWSKA 38,+48 32 245 50 41,sekretariat@zoz.net.pl
337,12,Śląski  OW NFZ,GÓRNOŚLĄSKIE CENTRUM MEDYCZNE IM. PROF. LESZKA GIECA ŚLĄSKIEGO UNIWERSYTETU MEDYCZNEGO W KATOWICACH,KATOWICE,ZIOŁOWA 45-47,,dyrektor@gcm.pl
338,12,Śląski  OW NFZ,OKRĘGOWY SZPITAL KOLEJOWY W KATOWICACH SPZOZ,KATOWICE,PANEWNICKA 65,(032)605 35 35,sekretariat@kolejowy.katowice.pl
339,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL CHIRURGII URAZOWEJ IM.DR J. DAABA,PIEKARY ŚLĄSKIE,BYTOMSKA 62,(032)393 42 59,sekretariat@urazowka.piekary.pl
340,12,Śląski  OW NFZ,SZPITAL SPECJALISTYCZNY NR 1 W BYTOMIU,BYTOM,STEFANA ŻEROMSKIEGO 7,(032)396 32 44,info@szpital1.bytom.pl
341,12,Śląski  OW NFZ,SZPITAL SPECJALISTYCZNY NR 2 W BYTOMIU,BYTOM,STEFANA BATOREGO 15,(032)786 14 00,sekretariat@szpital2.bytom.pl
342,12,Śląski  OW NFZ,SPZOZ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 4 W BYTOMIU,BYTOM,ALEJA LEGIONÓW 10,(032)281 02 71,szpital@szpital4.bytom.pl
343,12,Śląski  OW NFZ,SZPITAL MIEJSKI W SIEMIANOWICACH ŚLĄSKICH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SIEMIANOWICE ŚLĄSKIE,1 MAJA 9,(032)228 30 30,sekretariat@zozsiemianowice.pl
344,12,Śląski  OW NFZ,CENTRUM LECZENIA OPARZEŃ IM. DR STANISŁAWA SAKIELA W SIEMIANOWICACH ŚLĄSKICH,SIEMIANOWICE ŚLĄSKIE,JANA PAWŁA II 2,+48 32 735 74 80,clo@clo.com.pl
345,12,Śląski  OW NFZ,SZPITAL MURCKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KATOWICE,ALFREDA SOKOŁOWSKIEGO 2,(032)255 63 37,sekretariat@szpitalmurcki.pl
346,12,Śląski  OW NFZ,UNIWERSYTECKIE CENTRUM KLINICZNE IM. PROF. K. GIBIŃSKIEGO ŚLĄSKIEGO UNIWERSYTETU MEDYCZNEGO W KATOWICACH,KATOWICE,CEGLANA 35,(032)358 12 54,sekretariat@uck.katowice.pl
347,12,Śląski  OW NFZ,"SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY IM. ANDRZEJA MIELĘCKIEGO ŚLĄSKIEGO UNIWERSYTETU MEDYCZNEGO W KATOWICACH,",KATOWICE,FRANCUSKA 20/24,(032)259 12 00,SPSKM@SPSKM.KATOWICE.PL
348,12,Śląski  OW NFZ,KATOWICKIE CENTRUM ONKOLOGII,KATOWICE,RACIBORSKA 26,(032)251 52 31,szpital@kco.katowice.pl
349,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W KATOWICACH IM. SIERŻANTA GRZEGO,KATOWICE,BARTOSZA GŁOWACKIEGO 10,(032)782 73 75,zozmsw@zozmsw.katowice.pl
350,12,Śląski  OW NFZ,SP ZOZ SZPITAL NR 2 IM. DR. TADEUSZA BOCZONIA W MYSŁOWICACH,MYSŁOWICE,BYTOMSKA 41,(032)318 33 48,szpital_nr2_myslowice@wp.pl
351,12,Śląski  OW NFZ,SZPITAL ŚW. JÓZEFA SP. Z O. O.,MIKOŁÓW,STEFANA OKRZEI 27,(032)226 59 75,szpswjozef@katowice.opoka.org.pl
352,12,Śląski  OW NFZ,"""EMC SILESIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",KATOWICE,MORAWA 31,(032)256 81 49,katowice@emc-sa.pl
353,12,Śląski  OW NFZ,SZPITAL ZAKONU BONIFRATRÓW W KATOWICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KATOWICE,LEOPOLDA MARKIEFKI 87,(032)357 62 08,szpital@bonifratrzy.katowice.pl
354,12,Śląski  OW NFZ,MYSŁOWICKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MYSŁOWICE,MIKOŁOWSKA 1,(032)317 44 00,sekretariat@mcz.myslowice.pl
355,12,Śląski  OW NFZ,CENTRUM ZDROWIA W MIKOŁOWIE SP. Z O.O.,MIKOŁÓW,LUDWIKA WARYŃSKIEGO 2,(032)325 76 35,kancelaria@szpital-mikolow.com.pl
356,12,Śląski  OW NFZ,SZPITAL MIEJSKI W RUDZIE ŚLĄSKIEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RUDA ŚLĄSKA,WINCENTEGO LIPA 2,(032)344 07 23,sekretariat@szpitalruda.pl
357,12,Śląski  OW NFZ,PIEKARSKIE CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PIEKARY ŚLĄSKIE,SZPITALNA 11,,prezes@szpital.piekary.pl
358,12,Śląski  OW NFZ,SZPITAL MIEJSKI W TYCHACH,TYCHY,CICHA 27,(032)780 87 00,sekretariat@szpitalmiejskitychy.pl
359,12,Śląski  OW NFZ,MEGREZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,TYCHY,EDUKACJI 102,,sekretariat@szpitalmegrez.pl
360,12,Śląski  OW NFZ,SZPITAL WOJEWÓDZKI W BIELSKU-BIAŁEJ,BIELSKO-BIAŁA,ALEJA ARMII KRAJOWEJ 101,+48 338 102 000,sekretariat@hospital.com.pl
361,12,Śląski  OW NFZ,"ŚLĄSKIE CENTRUM REUMATOLOGII, REHABILITACJI I ZAPOBIEGANIA NIEPEŁNOSPRAWNOŚCI IM. GEN. JERZEGO ZIĘTKA W USTRONIU SP. Z O.O.",USTROŃ,SZPITALNA 11,+48 33 854 26 40,rozliczenia@reumatologiczny.pl
362,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL KOLEJOWY W WILKOWICACH-BYSTREJ,WILKOWICE,ŻYWIECKA 19,,biuro@szpital-kolejowy.com
363,12,Śląski  OW NFZ,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W CIESZYNIE,CIESZYN,BIELSKA 4,(033)852 49 33,sekretariat@szpitalslaski.pl
364,12,Śląski  OW NFZ,AMERICAN HEART OF POLAND SPÓŁKA AKCYJNA,USTROŃ,SANATORYJNA 1,(033)854 58 59,sekretariat@klinikiserca.pl
365,12,Śląski  OW NFZ,ICZ HEALTHCARE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŻYWIEC,SIENKIEWICZA 52,+48 33 440 14 01,biuro@szpitalzywiec.pl
366,12,Śląski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. N.M.P.,CZĘSTOCHOWA,BIALSKA 104/118,(034)367 30 00,organizacja@data.pl
367,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W MYSZKOWIE,MYSZKÓW,ALEJA WOLNOŚCI 29,(034)313 88 80,sekretariat@zozmyszkow.pl
368,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W LUBLIŃCU,LUBLINIEC,SOBIESKIEGO 9,(034)350 63 80,sekretariat@spzozlubliniec.pl
369,12,Śląski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W KŁOBUCKU,KŁOBUCK,11 LISTOPADA 5C,,zozklobuck@zozklobuck.com.pl
370,12,Śląski  OW NFZ,MIEJSKI SZPITAL ZESPOLONY,CZĘSTOCHOWA,MIROWSKA 15,,sekretariat@zsm.czest.pl
371,12,Śląski  OW NFZ,SCANMED SPÓŁKA AKCYJNA,WARSZAWA,STEFANA OKRZEI 1A,+48 32 230 22 45,sekretariat.zarzadu@scanmed.pl
372,12,Śląski  OW NFZ,POWIATOWY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RYDUŁTOWACH I WODZISŁAWIU ŚLĄSKIM Z SIEDZIBĄ W WODZISŁAWIU ŚLĄSKIM,WODZISŁAW ŚLĄSKI,26 MARCA 51,(032)459 18 00,kancelaria@zoz.wodzislaw.pl
373,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 3 W RYBNIKU,RYBNIK,ENERGETYKÓW 46,+48 32 429 10 00,szpital@szpital.rybnik.pl
374,12,Śląski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 2 W JASTRZĘBIU ZDROJU,JASTRZĘBIE-ZDRÓJ,ALEJA JANA PAWŁA II 7,(032)478 42 00,szpital@wss2.pl
375,12,Śląski  OW NFZ,SZPITAL REJONOWY IM. DR. JÓZEFA ROSTKA W RACIBORZU,RACIBÓRZ,GAMOWSKA 3,+48 32 755 50 00,sekretariat@szpital-raciborz.org
376,12,Śląski  OW NFZ,MIEJSKIE ZAKŁADY OPIEKI ZDROWOTNEJ W ŻORACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŻORY,DĄBROWSKIEGO 20,(032)434 12 36,zarzad@mzoz.zory.pl
377,12,Śląski  OW NFZ,SZPITAL WIELOSPECJALISTYCZNY W JAWORZNIE,JAWORZNO,JÓZEFA CHEŁMOŃSKIEGO 28,(032)616 44 82,sekretariat@szpital.jaworzno.pl
378,12,Śląski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 5 IM. ŚW. BARBARY W SOSNOWCU,SOSNOWIEC,MEDYKÓW 1,(032)368 20 32,sekretariat@wss5.pl
379,12,Śląski  OW NFZ,SZPITAL POWIATOWY W ZAWIERCIU,ZAWIERCIE,MIODOWA 14,(032)672 15 32,szpital@szpitalzawiercie.pl
380,12,Śląski  OW NFZ,ZAGŁĘBIOWSKIE CENTRUM ONKOLOGII SZPITAL SPECJALISTYCZNY IM. SZ. STARKIEWICZA W DĄBROWIE GÓRNICZEJ,DĄBROWA GÓRNICZA,SZPITALNA 13,(032)262 32 75,szpital@zco-dg.pl
381,12,Śląski  OW NFZ,POWIATOWY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ,CZELADŹ,SZPITALNA 40,(032)267 30 11,sekretariat.czeladz@pzzoz.bedzin.pl
382,12,Śląski  OW NFZ,SOSNOWIECKI SZPITAL MIEJSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SOSNOWIEC,SZPITALNA 1,(032)413 01 11,sekretariat@szpital.sosnowiec.pl
383,12,Śląski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 1 IM PROF. STANISŁAWA SZYSZKO SUM W KATOWICACH,ZABRZE,3 MAJA 13-15,+48 32 370 43 07,sekretariat@szpital.zabrze.pl
384,12,Śląski  OW NFZ,SZPITAL SPECJALISTYCZNY W ZABRZU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZABRZE,MARII CURIE-SKŁODOWSKIEJ 10,(032)373 23 12,klinika@klinika-zabrze.med.pl
385,12,Śląski  OW NFZ,SZPITAL W PYSKOWICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PYSKOWICE,SZPITALNA 2,(032)233 24 24,szpital_pyskowice@powiatgliwicki.pl
386,12,Śląski  OW NFZ,ŚLĄSKIE CENTRUM CHORÓB SERCA W ZABRZU,ZABRZE,MARII CURIE-SKŁODOWSKIEJ 9,(032)373 37 00,sekretariat.ekonomiczny@sccs.pl
387,12,Śląski  OW NFZ,SZPITAL MIEJSKI NR 4 W GLIWICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GLIWICE,ZYGMUNTA STAREGO 20,,sekretariat@szpital4.gliwice.pl
388,12,Śląski  OW NFZ,SZPITAL WIELOSPECJALISTYCZNY W GLIWICACH,GLIWICE,TADEUSZA KOŚCIUSZKI 1,(032)238 20 91,sekretariat@szwg.pl
389,12,Śląski  OW NFZ,SZPITAL MIEJSKI W ZABRZU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZABRZE,ZAMKOWA 4,(032)277 61 00,sekretariat@szpitalzabrze.pl
390,12,Śląski  OW NFZ,SZPITAL W KNUROWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KNURÓW,NIEPODLEGŁOŚCI 8,(032)331 93 34,sekretariat@szpitalknurow.pl
391,12,Śląski  OW NFZ,WIELOSPECJALISTYCZNY SZPITAL POWIATOWY SPÓŁKA AKCYJNA,TARNOWSKIE GÓRY,PYSKOWICKA 47-51,(032)390 82 04,szpital@wspsa.pl
392,12,Śląski  OW NFZ,ZAKON POSŁUGUJĄCYCH CHORYM OJCOWIE KAMILIANIE,TARNOWSKIE GÓRY,BYTOMSKA 22,+48 693 102 789,finanse@kamilianie.eu
393,13,Świętokrzyski  OW NFZ,SZPITAL POWIATOWY W CHMIELNIKU,CHMIELNIK,KIELECKA1-3,(041) 354-20-17,biuro@szpital-chmielnik.pl
394,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W SKARŻYSKU KAMIENNEJ SZPITAL POWIATOWY IM. MARII SKŁODOWSKIEJ-CURIE,SKARŻYSKO-KAMIENNA,SZPITALNA 1,(41) 395 62 00; 516 209 201,zoz@zoz.com.pl
395,13,Świętokrzyski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KAZIMIERZY WIELKIEJ,KAZIMIERZA WIELKA,PARTYZANTÓW 12,(0-41) 3521442,Dyrektor@spzozkw.pl
396,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁOSZCZOWIE - SZPITAL POWIATOWY IM. JANA PAWŁA II,WŁOSZCZOWA,ŻEROMSKIEGO 28,41 3883740,sekretariat@zozwloszczowa.pl
397,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W BUSKU-ZDROJU,BUSKO-ZDRÓJ,BOHATERÓW WARSZAWY 67,41 378 27 68,sekretariat@zoz.busko.com.pl
398,13,Świętokrzyski  OW NFZ,POWIATOWY ZAKŁAD OPIEKI ZDROWOTNEJ,STARACHOWICE,RADOMSKA 70,041 274-61-58,info@szpital.starachowice.pl
399,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W KOŃSKICH,KOŃSKIE,GIMNAZJALNA 41B,041-390-23-50,zpital@zoz.konskie.pl
400,13,Świętokrzyski  OW NFZ,ŚWIĘTOKRZYSKIE CENTRUM MATKI I NOWORODKA - SZPITAL SPECJALISTYCZNY W KIELCACH,KIELCE,PROSTA 30,41 2013 800,szpital@szpgin.kielce.pl
401,13,Świętokrzyski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W STASZOWIE,STASZÓW,11-GO LISTOPADA 78,015 864-86-05,sekretariat@szpitalstaszow.pl
402,13,Świętokrzyski  OW NFZ,SZPITAL SPECJALISTYCZNY DUCHA ŚWIĘTEGO W SANDOMIERZU,SANDOMIERZ,SCHINZLA 13,015/8323575,szpital@sand.pl
403,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W PIŃCZOWIE,PIŃCZÓW,ARMII KRAJOWEJ 22,41 357 30 31,sekretariat@szpitalpinczow.pl
404,13,Świętokrzyski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W OSTROWCU ŚWIĘTOKRZYSKIM,OSTROWIEC ŚWIĘTOKRZYSKI,K. SZYMANOWSKIEGO 11,(41) 247 80 00,info@zoz.ostrowiec.pl
405,13,Świętokrzyski  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY W KIELCACH,KIELCE,GRUNWALDZKA 45,(041) 36-71-300,szpital@wszzkielce.pl
406,13,Świętokrzyski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W KIELCACH,KIELCE,WOJSKA POLSKIEGO 51,(041) 260 42 00,zoz@zozmswiakielce.pl
407,13,Świętokrzyski  OW NFZ,"""UZDROWISKO BUSKO-ZDRÓJ"" SPÓŁKA AKCYJNA",BUSKO-ZDRÓJ,GEN. F. RZEWUSKIEGO 1,41 370 32 25,dyrekcja@ubz.pl
408,13,Świętokrzyski  OW NFZ,SZPITAL KIELECKI ŚW. ALEKSANDRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KIELCE,KOŚCIUSZKI 25,/41/ 34-17-800,kancelaria@szpitalkielecki.pl
409,13,Świętokrzyski  OW NFZ,SZPITAL ŚW. LEONA SP. Z O.O.,OPATÓW,SZPITALNA 4,(15) 867 04 00,sekretariat@szpitalopatow.pl
410,13,Świętokrzyski  OW NFZ,SZPITAL SPECJALISTYCZNY ARTMEDIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,JĘDRZEJÓW,MAŁOGOSKA 25,413861154,sekretariat@szpital-jedrzejow.pl
411,14,Warmińsko-Mazurski  OW NFZ,SZPITAL MIEJSKI ŚW. JANA PAWŁA II W ELBLĄGU,ELBLĄG,JANA AMOSA KOMEŃSKIEGO 35,552394402,sekretariat.ess@elblag.com.pl
412,14,Warmińsko-Mazurski  OW NFZ,GOLDMEDICA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GOŁDAP,SŁONECZNA 7,087- 615-13-76,sekretariat@goldmedica.pl
413,14,Warmińsko-Mazurski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZYTNIE,SZCZYTNO,SKŁODOWSKIEJ 12,0896232100,dyrektor@szpital.szczytno.pl
414,14,Warmińsko-Mazurski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W NIDZICY,NIDZICA,MICKIEWICZA 23,89 625 05 00,szpital@zoz.nidzica.pl
415,14,Warmińsko-Mazurski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL POWIATOWY W PISZU,PISZ,SIENKIEWICZA 2,(087) 425 45 00,sekretariat@szpitalpisz.pl
416,14,Warmińsko-Mazurski  OW NFZ,ZESPÓŁ OPIEKI  ZDROWOTNEJ W LIDZBARKU WARMIŃSKIM,LIDZBARK WARMIŃSKI,KARD. STEFANA WYSZYŃSKIEGO 37,(089) 767 22 71,sekretariat@zozlw.pl
417,14,Warmińsko-Mazurski  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY W ELBLĄGU,ELBLĄG,KRÓLEWIECKA 146,"(055) 234-41-11, 234-56-12",sekretariat@szpital.elblag.pl
418,14,Warmińsko-Mazurski  OW NFZ,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W DOBRYM MIEŚCIE,DOBRE MIASTO,GRUNWALDZKA 10B,089 616 82 28,sekretariat@szpitaldobremiasto.pl
419,14,Warmińsko-Mazurski  OW NFZ,MIEJSKI SZPITAL ZESPOLONY W OLSZTYNIE,OLSZTYN,NIEPODLEGŁOŚCI 44,0-89 532-62-63,sekretariat@szpital.olsztyn.pl
420,14,Warmińsko-Mazurski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY  W OLSZTYNIE,OLSZTYN,ŻOŁNIERSKA 18,89 5386356,szpital@wss.olsztyn.pl
421,14,Warmińsko-Mazurski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W DZIAŁDOWIE,DZIAŁDOWO,LEŚNA 1,023 697-22-11,sekretariat@spzoz-dzialdowo.pl
422,14,Warmińsko-Mazurski  OW NFZ,SZPITAL POWIATOWY IM. JANA MIKULICZA W BISKUPCU,BISKUPIEC,ARMII KRAJOWEJ 8,89-7156207,info@szpital-biskupiec.pl
423,14,Warmińsko-Mazurski  OW NFZ,POWIATOWY SZPITAL IM.WŁADYSŁAWA BIEGAŃSKIEGO W IŁAWIE,IŁAWA,GEN.WŁ.ANDERSA 3,89 644 96 00,kancelaria@szpital.ilawa.pl
424,14,Warmińsko-Mazurski  OW NFZ,SZPITAL POWIATOWY W KĘTRZYNIE,KĘTRZYN,M. C. SKŁODOWSKIEJ 2,664358094,sekretariat@szpital-ketrzyn.pl
425,14,Warmińsko-Mazurski  OW NFZ,UNIWERSYTECKI SZPITAL KLINICZNY W OLSZTYNIE,OLSZTYN,WARSZAWSKA 30,089 524 53 54,kancelaria@szpital.uwm.edu.pl
426,14,Warmińsko-Mazurski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI  Z WARMIŃSKO-MAZURSKIM CENTRUM ONKOLOGII W OLSZTYNIE,OLSZTYN,WOJSKA POLSKIEGO 37,0-89 539-82-40,sekretariat@poliklinika.net
427,14,Warmińsko-Mazurski  OW NFZ,SZPITAL MRĄGOWSKI IM. MICHAŁA KAJKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MRĄGOWO,WOLNOŚCI 12,089 741 94 00,sekretariat@szpital-mragowo.pl
428,14,Warmińsko-Mazurski  OW NFZ,"""PRO-MEDICA"" W EŁKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",EŁK,BARANKI 24,87 620-95-71,sekretariat@promedica.elk.pl
429,14,Warmińsko-Mazurski  OW NFZ,SZPITAL  W OSTRÓDZIE SPÓŁKA AKCYJNA,OSTRÓDA,JAGIEŁŁY 1,089 646-0640,sekretariat@szpital-ostroda.pl
430,14,Warmińsko-Mazurski  OW NFZ,MAZURSKIE CENTRUM ZDROWIA SZPITAL POWIATOWY W WĘGORZEWIE PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,WĘGORZEWO,3 MAJA 17,87-427-32-52,sekretariat@szpitalwegorzewo.pl
431,14,Warmińsko-Mazurski  OW NFZ,SZPITAL POWIATOWY IM. JANA PAWŁA II W BARTOSZYCACH,BARTOSZYCE,KARDYNAŁA WYSZYŃSKIEGO 11,89 675 23 50,sekretariat@szpital-bartoszyce.pl
432,14,Warmińsko-Mazurski  OW NFZ,"""OLMEDICA W OLECKU - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",OLECKO,GOŁDAPSKA 1,087-520 22 95-96,olmedica@olmedica.pl
433,14,Warmińsko-Mazurski  OW NFZ,SZPITAL POWIATOWY W NOWYM MIEŚCIE LUBAWSKIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,NOWE MIASTO LUBAWSKIE,MICKIEWICZA 10,56 4742357,sekretariat@szpitalnml.pl
434,14,Warmińsko-Mazurski  OW NFZ,"""SZPITAL POWIATOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W PASŁĘKU""",PASŁĘK,KOPERNIKA 24A,552491590,sekretariat@szpitalpaslek.com
435,14,Warmińsko-Mazurski  OW NFZ,POWIATOWE CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W BRANIEWIE,BRANIEWO,MONIUSZKI 13,55 620 84 70,sekretariat@szpital-braniewo.home.pl
436,14,Warmińsko-Mazurski  OW NFZ,1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SPZOZ W LUBLINIE,EŁK,TADEUSZA KOŚCIUSZKI 30,261183200,sekretariat@1wszk.elk.pl
437,14,Warmińsko-Mazurski  OW NFZ,GIŻYCKA OCHRONA ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GIŻYCKO,WARSZAWSKA 41,87-429-66-01,sekretariat@zozgiz.pl
438,14,Warmińsko-Mazurski  OW NFZ,WOJEWÓDZKI SZPITAL REHABILITACYJNY DLA DZIECI W AMERYCE,AMERYKA,AMERYKA 21,0895194811,szpital@ameryka.com.pl
439,14,Warmińsko-Mazurski  OW NFZ,WOJEWÓDZKI SPECJALISTYCZNY SZPITAL DZIECIĘCY IM. PROF. DR STANISŁAWA POPOWSKIEGO W OLSZTYNIE,OLSZTYN,ŻOŁNIERSKA 18A,089 53 93 455,sekretariat@wssd.olsztyn.pl
